image,variant,confidence,cer,wer,text_preview
image copy.png,raw_psm6,21.8182,,,#& 571ក016 0០០ ក118 715 15 (:47៨៧8%):28 8 5៣811 ៨67075%|ក8<410ា.០២៨/ 1116 - ៗ។5< 1070 158 1 6 ។1។81 /|៩៨/8៣105 %។0071813
image copy.png,strong_psm6,29.8475,,,"# 51016 0ឯ0ក 116 ""ា15 15 (2066%):28 ឧ 5៣81. ៨៧8ក០ក54| 84100.២៦៨1 1116 - ៗ២5% 100 ។$8 1 ៕(វា6 *1 181 //៩០ា8010$ ៤0181. //"
image copy.png,strong_psm11,33.6589,,,ាក15$ 15 # 51016 0២០០ 1168 (1២៥6%): 28 ឧ 5៣811 ៨៧8៣០ក54| 84100.២៦៨1 1116 - ៗយ5% 100 56 1 (6 *17 881 /៩០868105 ២0181 5. ស
image copy.png,strong_psm12,33.6589,,,ាក15$ 15 # 51016 0២០០ 1168 (1២៥6%): 28 ឧ 5៣811 ៨៧8៣០ក54| 84100.២៦៨1 1116 - ៗយ5% 100 56 1 (6 *17 881 /៩០868105 ២0181 5. ស
image copy.png,ink_psm6,76.0,,,(1ក៨៩%): 29
image copy.png,ink_psm11,76.0,,,(1ក៨៩%): 29
image copy.png,ink_psm12,76.0,,,(1ក៨៩%): 29
image.png,raw_psm6,25.2857,,,7» ៤ « យ» ៩៣ ៩» [៦៩ ស 1៩ 02 334 ១ | <១».
image.png,strong_psm6,20.3077,,,7» ន ក ៧កពស» ៩៣ ៩» ៧៦8 ស ៣ 224 ១5 24 22».
image.png,strong_psm11,29.6154,,,7» នេ ៧ ក៧កជសក (៩៣ ៩» ៧៦8 ស ៣ 224 ១5 24 22».
image.png,strong_psm12,29.6154,,,7» នេ ៧ ក៧កជសក (៩៣ ៩» ៧៦8 ស ៣ 224 ១5 24 22».
image.png,ink_psm6,0.0,,,
image.png,ink_psm11,0.0,,,
image.png,ink_psm12,0.0,,,
kh_image_test.png,raw_psm6,0.0,,,
kh_image_test.png,strong_psm6,13.5,,,ខយ នានា55ក។7 យា ញា
kh_image_test.png,strong_psm11,27.8,,,យ ---77 - ចៅ 6២253 ទី25 «ឃា - _ ក្រប យច --=5ស់) ឲ»- _ -
kh_image_test.png,strong_psm12,31.0952,,,យ ---77 - ចៅ 6២253 ទី25 ឃា <=>--« វា - _ _ _ ក្រប យច ---==យសសា ឲ»- _ យ _ _
kh_image_test.png,ink_psm6,22.4545,,,ខស ទញ53 ខទ -925 333 'ទខ3 - [ទ្ចា2ឧាឈផាទណណាស្រាកាគ្រ្រយា ា យយ »--
kh_image_test.png,ink_psm11,4.7143,,,ខា 553 ទ្ធីខូ5 ន ‹[្ម្ញោះ3ា'ឋាពណាក្រាកាឃ្នុយា យយ ចឲ»--
kh_image_test.png,ink_psm12,26.3333,,,"""ស = 1. _យងំ២2<=។ ២2៦ - ឲះ បសស ទយ"
